Term | TF-IDF country | TF-IDF pop | TF-IDF rap | TF-IDFrock
things	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
used	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
do	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
lookin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
an	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
flame	|	1.124449	|	0.374816	|	0.499755	|	0.000000	|	
Heartbreak	|	1.806180	|	0.000000	|	0.000000	|	0.000000	|	
Avenue	|	0.903090	|	0.301030	|	0.000000	|	0.000000	|	
runnin'into	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
hate	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
loved	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
keeps	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
My	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
train	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
won't	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
off	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
worn	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
track	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
occasion	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
meet	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
On	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
endless	|	0.602060	|	0.000000	|	0.000000	|	0.602060	|	
broken	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
dreams	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Here	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
comes	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
now	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Down	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Lord	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
